Type,Anal.,Sample Name,Sample ID,Origin,Cal. Curve,Manual Dilution,Notes,Date / Time,Spl. No.,Inj. No.,Analysis(Inj.),Area,Conc.,Result,Excluded,Inj. Vol.,Notes2,Remove
Unknown,NPOC,Vial 2_1,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/21/2019 12:50:45 PM,1,1,NPOC,12.31,-15.79,NPOC:-12.60mg/L,1,50,run2: excluded=1 are removed,remove
Unknown,NPOC,Vial 2_1,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/21/2019 12:53:27 PM,1,2,NPOC,10.2,-13.08,NPOC:-12.60mg/L,0,50,,
Unknown,NPOC,Vial 2_1,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/21/2019 12:56:17 PM,1,3,NPOC,9.444,-12.11,NPOC:-12.60mg/L,0,50,,
Unknown,NPOC,Vial 2_2,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/21/2019 1:06:16 PM,1,1,NPOC,7.52,-9.647,NPOC:-9.694mg/L,0,50,,
Unknown,NPOC,Vial 2_2,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/21/2019 1:08:58 PM,1,2,NPOC,8.151,-10.46,NPOC:-9.694mg/L,1,50,,remove
Unknown,NPOC,Vial 2_2,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/21/2019 1:11:42 PM,1,3,NPOC,7.594,-9.742,NPOC:-9.694mg/L,0,50,,
Unknown,NPOC,Vial 2_3,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/21/2019 1:21:54 PM,1,1,NPOC,10.99,-14.1,NPOC:-14.27mg/L,0,50,,
Unknown,NPOC,Vial 2_3,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/21/2019 1:24:44 PM,1,2,NPOC,11.77,-15.1,NPOC:-14.27mg/L,1,50,,remove
Unknown,NPOC,Vial 2_3,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/21/2019 1:27:28 PM,1,3,NPOC,11.26,-14.44,NPOC:-14.27mg/L,0,50,,
Unknown,NPOC,Vial 2_4,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/21/2019 1:37:39 PM,1,1,NPOC,15.66,-20.09,NPOC:-20.31mg/L,0,50,,
