Run,DD,MM,YYYY,Vial_no,Sample_name,Type,Calib_ppm,Dilution
1,20,11,2019,1,STD_DIWATER,blank,0,1
1,20,11,2019,2,STD_DIWATER,blank,0,1
1,20,11,2019,3,STD_1PPM,calibration,1,1
1,20,11,2019,4,STD_2PPM,calibration,2,1
1,20,11,2019,5,STD_5PPM,calibration,5,1
1,20,11,2019,6,STD_10PPM,calibration,10,1
1,20,11,2019,7,STD_20PPM,calibration,20,1
1,20,11,2019,8,16,sample,,1
1,20,11,2019,9,17,sample,,1
1,20,11,2019,10,18,sample,,1
1,20,11,2019,11,19,sample,,1
1,20,11,2019,12,20,sample,,1
1,20,11,2019,38,QC-BLANK,QAQC,,1
1,20,11,2019,39,QC-10PPM,QAQC,,1
1,20,11,2019,40,71,sample,,1
1,20,11,2019,41,72,sample,,1
1,20,11,2019,42,73,sample,,1
1,20,11,2019,43,74,sample,,1
1,20,11,2019,44,75,sample,,1
1,20,11,2019,83,QC-BLANK,QAQC,,1
1,20,11,2019,84,QC-10PPM,QAQC,,1
2,21,11,2019,2_1,STD_DIWATER,calibration,0,1
2,21,11,2019,2_2,STD_DIWATER,calibration,0,1
2,21,11,2019,2_3,STD_1PPM,calibration,1,1
2,21,11,2019,2_4,STD_2PPM,calibration,2,1
2,21,11,2019,2_5,STD_5PPM,calibration,5,1
2,21,11,2019,2_6,STD_10PPM,calibration,10,1
2,21,11,2019,2_7,STD_20PPM,calibration,20,1
2,21,11,2019,2_8,STD_40PPM,calibration,40,1
2,21,11,2019,2_9,STD_60PPM,calibration,60,1
2,21,11,2019,2_10,STD_100PPM,calibration,100,1
2,21,11,2019,2_46,156,sample,,1
2,21,11,2019,2_47,157,sample,,1
2,21,11,2019,2_48,158,sample,,1
2,21,11,2019,2_49,159,sample,,1
2,21,11,2019,2_50,160,sample,,1
2,21,11,2019,2_51,REP-160,QAQC,,1
2,21,11,2019,2_52,QC1,QAQC,,1
2,21,11,2019,2_53,QC2,QAQC,,1
2,21,11,2019,2_54,QC3,QAQC,,1
2,21,11,2019,2_55,BL1,QAQC,,1
2,21,11,2019,2_56,BL2,QAQC,,1
2,21,11,2019,2_57,BL3,QAQC,,1
